City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ust'-ilimsk,43.072,2.5106,293.7,66,94,2.6,FR,1702306047
83,warah,-38.3835,141.9713,289.12,89,100,10.04,AU,1702306048
84,papatowai,25.039,-112.9267,296.17,54,57,5.35,MX,1702306049
85,porto novo,-9.2055,157.357,300.74,77,99,3.18,SB,1702306052
86,makurdi,23.5466,76.8904,291.9,38,23,3.16,IN,1702306053
87,yuzhno-kurilsk,54.0837,144.5034,263.25,80,100,15.62,RU,1702306053
88,fukura,38.6025,-89.5391,273.94,82,99,1.79,US,1702306056
89,lata,-16.4869,-51.9739,306.97,38,88,4.26,BR,1702306057
90,novyy buh,-11.2917,-37.9842,308.69,28,97,5.45,BR,1702306058
91,tayu,24.3272,60.6703,298.95,50,69,3.62,IR,1702306061
92,bandon,67.5294,-136.6852,252.38,92,100,3.06,CA,1702306062
93,carutapera,60.9829,125.888,244.42,94,100,3.49,RU,1702306063
94,chibougamau,-0.7363,-48.934,305.87,51,63,5.49,BR,1702306064
95,mahina,55.5022,163.2245,273.93,67,100,12.7,RU,1702306065
96,la libertad,67.5591,69.5394,248.66,97,100,3.9,RU,1702306065
97,prieska,52.3331,44.4261,263.86,71,100,9.2,RU,1702306066
98,post,46.7662,-115.7939,269.46,100,100,0.85,US,1702306067
99,andergrove,2.8957,-57.5552,300.2,82,83,1.53,GY,1702306070
100,sierra grande,-0.2324,72.5228,301.64,74,19,3.02,MV,1702306071
101,boa vista,61.7755,-101.1943,258.13,96,100,3.81,CA,1702306072
102,baruun-urt,23.8814,77.2588,291.13,39,9,2.83,IN,1702306074
103,morki,-16.8025,37.5701,307.21,41,84,5.39,MZ,1702306074
104,touros,46.2807,-53.4749,279.77,91,100,13.04,CA,1702306075
105,tanrake village,2.5548,125.9696,302.2,76,100,6.67,ID,1702306076
106,tura,17.8201,-75.0214,301.19,77,3,8.31,HT,1702306081
107,pailon,19.9723,-78.1422,299.85,81,100,6.29,CU,1702306086
108,hopelchen,53.7732,34.9938,269.74,94,100,4.34,RU,1702306087
109,jamaame,58.4648,-163.7372,265.85,79,30,16.44,US,1702306088
110,cova figueira,20.1384,80.5548,290.81,66,1,0.93,IN,1702306092
111,usinsk,48.3247,122.203,249.48,91,98,1.3,CN,1702306095
112,amga,32.3926,-78.4837,286.5,73,83,10.49,US,1702306098
113,gusinoozyorsk,41.0504,-96.0353,270.64,84,0,2.06,US,1702306099
114,hermanus,60.9551,17.9091,272.62,80,100,7.67,SE,1702306102
115,arraial do cabo,33.8314,31.9252,292.79,59,0,2.91,CY,1702306104
116,viet tri,55.8625,26.4531,273.05,96,100,4.59,LV,1702306104
117,el jadid,46.4282,-105.8551,272.27,93,100,3.09,US,1702306108
118,garhakota,-17.143,166.9225,298.53,75,100,7.11,VU,1702306110
119,marilia,55.857,40.5772,265.44,91,100,5.71,RU,1702306113
120,medicine hat,68.877,-107.7801,253.4,95,100,4.24,CA,1702306120
121,letterkenny,34.8414,129.8939,290.25,86,91,8.12,KR,1702306120
122,kone,41.312,-97.3911,269.57,73,0,1.54,US,1702306121
123,south grafton,29.46,-99.6413,283.28,29,0,1.9,US,1702306125
124,sechura,38.1611,-9.3868,291.62,88,100,7.19,PT,1702306128
125,selfoss,9.1148,33.8225,308.65,21,55,1.21,SS,1702306131
126,marakkanam,28.4959,102.4312,276.62,94,45,1.54,CN,1702306133
127,zahedan,65.569,123.1662,241.87,99,100,2.86,RU,1702306136
128,bechar,-2.1934,130.6442,301.44,79,95,5.63,ID,1702306138
129,'ibri,49.6307,95.016,245.34,91,98,1.62,MN,1702306138
130,smithers,-24.6527,112.3247,297.07,77,0,4.5,AU,1702306144
131,jurm,5.7505,5.9461,305.21,51,61,1.86,NG,1702306151
132,espargos,17.7623,-86.0312,300.87,78,48,7.57,HN,1702306153
133,pimentel,57.1621,84.9021,243.55,94,21,3.13,RU,1702306153
134,marshall,3.9482,38.919,298.18,46,99,6.38,KE,1702306154
135,kiryu,52.9645,-119.1816,257.45,98,99,0.5,CA,1702306154
136,ghat,-2.2209,-71.5003,303.36,70,88,1.13,CO,1702306155
137,namtsy,28.268,63.1933,294.32,33,42,4.1,PK,1702306160
138,vila velha,20.2668,-105.7818,298.95,68,6,6.02,MX,1702306163
139,al ghayzah,18.505,34.1528,302.15,10,81,4.07,SD,1702306166
140,la passe,47.0946,7.6225,285.04,86,75,4.12,CH,1702306168
141,vila do maio,7.7335,135.2016,301.72,76,36,6.91,PW,1702306171
142,camiri,10.436,-74.5311,303.76,57,68,1.07,CO,1702306175
143,laguna,54.719,-64.0352,265.08,93,100,6.83,CA,1702306176
144,kumylzhenskaya,19.5178,92.5439,297.87,63,0,4.77,MM,1702306176
145,lagoa,60.2895,102.3961,240.3,98,99,0.7,RU,1702306177
146,remire-montjoly,4.7414,21.1236,304.34,42,25,2.1,CF,1702306181
147,verkhnevilyuysk,27.5336,67.7917,293.61,19,1,0.88,PK,1702306182
148,turinsk,-32.6699,141.8392,301.19,38,85,5.18,AU,1702306183
149,am timan,45.4393,140.2822,269.79,63,42,7.26,JP,1702306185
150,sumbe,62.4426,-164.5817,256.14,88,8,8.54,US,1702306186
151,westminster,32.143,29.5531,293.37,55,0,3.67,EG,1702306188
152,goure,57.5601,83.7422,241.77,96,23,2.62,RU,1702306191
153,tshabong,67.8972,83.8117,252.92,99,100,4.08,RU,1702306192
154,kiama,8.0967,8.7211,308.73,13,7,3.44,NG,1702306195
155,ocean pointe,19.0692,38.5068,301.36,72,90,7.51,SD,1702306199
156,ribeira brava,34.0553,134.8729,289.15,85,98,12.59,JP,1702306199
157,itaberai,48.0435,32.3495,275.67,100,100,3.37,UA,1702306201
158,tucupita,-10.69,33.7247,293.35,69,97,3.56,MW,1702306204
159,santa elena de uairen,-11.5495,48.2565,300.96,82,23,8.72,MG,1702306205
160,richards bay,8.5678,-8.2808,304.35,20,74,1.36,GN,1702306206
161,fort mcmurray,-5.4941,111.3064,301.87,73,99,2.21,ID,1702306207
162,pembroke,-13.6303,29.1563,298.41,54,100,0.52,ZM,1702306208
163,terekeka,-31.0683,123.5425,288.79,71,4,6.64,AU,1702306210
164,lerwick,-4.8493,23.5204,301.28,62,100,1.05,CD,1702306211
165,kollam,53.8646,-76.9463,265.53,94,99,6.79,CA,1702306213
166,murghob,-5.5388,105.6564,299.32,84,59,3.67,ID,1702306214
167,neiafu,-29.8021,22.5253,302.51,17,74,5.08,ZA,1702306219
168,taseyevo,33.4845,-101.1335,280.92,21,39,2.71,US,1702306220
169,petrovskaya,28.7758,86.8419,263.96,55,0,0.5,CN,1702306228
